x-coordinate,y_coordinate,Total counts,Total counts uncertainty,Mean background count
76,33,147423.2881580899,383.95740409333155,3415.3177203899168
111,144,27381.8368658015,165.4745807240541,3415.3177203899168
93,8,7561.217809586493,86.95526326558095,3415.3177203899168
166,286,15995.743188141012,126.4742787611023,3415.3177203899168
54,370,13418.7330367192,115.83925516300249,3415.3177203899168
116,46,173.68227961008324,13.178857295307633,3415.3177203899168
135,130,3588.973464013413,59.90804173075108,3415.3177203899168
10,265,3875.0671416739124,62.25003728251022,3415.3177203899168
210,163,2536.103829082331,50.35974413241524,3415.3177203899168
183,297,4054.5253785545783,63.67515511213599,3415.3177203899168
88,27,1987.1975067428302,44.577993525312806,3415.3177203899168
15,100,271.0468388302497,16.463500199843583,3415.3177203899168
39,188,893534.0061585607,945.2692770626584,3407.8677504300367
40,361,105210.96002250905,324.36238996299966,3407.8677504300367
121,44,13097.315466457167,114.44350338248636,3407.8677504300367
185,161,20930.514939794928,144.67382257960466,3407.8677504300367
199,181,14802.547452696002,121.66572012155274,3407.8677504300367
123,173,20794.804922593485,144.20403920346158,3407.8677504300367
92,3,4911.347979358237,70.08101011941991,3407.8677504300367
19,284,10279.695958716497,101.38883547371721,3407.8677504300367
211,318,3342.4222323684944,57.813685511031856,3407.8677504300367
168,162,3301.5544819384577,57.45915490101171,3407.8677504300367
202,259,3187.215729788274,56.455431357738064,3407.8677504300367
177,349,948.7192444095226,30.801286408355132,3407.8677504300367
234,151,33040.49355157149,181.7704419083903,3407.2835716332834
117,371,91909.58634525436,303.1659386297451,3407.2835716332834
19,10,68415.67493551568,261.56390220272306,3407.2835716332834
189,158,17971.807120338828,134.05896881722919,3407.2835716332834
232,349,14056.314269337352,118.5593280570422,3407.2835716332834
57,9,38933.31707161717,197.31527328521017,3407.2835716332834
93,203,42996.7649269176,207.35661293269044,3407.2835716332834
34,121,13740.493551571542,117.219851354502,3407.2835716332834
111,400,9928.59784097063,99.64234963593859,3407.2835716332834
129,332,8211.881412603912,90.61943176054412,3407.2835716332834
203,239,5476.6721332356865,74.00454130143424,3407.2835716332834
170,45,6906.58284240361,83.10585323792549,3407.2835716332834
79,99,3877.6721332356815,62.27095738171754,3407.2835716332834
125,220,3927.6721332356815,62.67114274716619,3407.2835716332834
2,302,2534.7914212017986,50.346712119082795,3407.2835716332834
203,281,1449.0449957010492,38.06632364309757,3407.2835716332834
233,89,1820.343565901349,42.665484479862045,3407.2835716332834
107,322,283806.8907030368,532.7352913999943,3406.9267191701883
234,372,358248.6979446809,598.5388023718102,3406.9267191701883
157,362,33208.13417210915,182.23099125041588,3406.9267191701883
0,150,9461.103726469468,97.26820511590346,3406.9267191701883
12,103,23506.13417210915,153.31710332545794,3406.9267191701883
178,399,11005.689973107961,104.90800719253016,3406.9267191701883
174,67,12721.862466384962,112.79123399619743,3406.9267191701883
20,19,12696.789185555146,112.68003010984309,3406.9267191701883
45,390,28529.43632347302,168.90659052705143,3406.9267191701883
149,123,3761.0518632347266,61.32741526621456,3406.9267191701883
128,135,5848.444199001148,76.47512143828965,3406.9267191701883
234,222,2519.9053015751033,50.19865836429399,3406.9267191701883
168,118,2925.9053015751033,54.09163800048121,3406.9267191701883
131,215,3771.1251440645383,61.40948741085972,3406.9267191701883
235,138,3582.1251440645383,59.85085750483896,3406.9267191701883
127,377,3425.0518632347266,58.523942649438155,3406.9267191701883
78,314,4811.370918171337,69.36404629324429,3406.9267191701883
116,158,4922.370918171337,70.1596103051559,3406.9267191701883
155,291,2702.978582404915,51.99017774931064,3406.9267191701883
86,352,1334.9526507875516,36.537003856194225,3406.9267191701883
228,392,1016.8060891279283,31.887397026535865,3406.9267191701883
108,343,1306067.7335573535,1142.8332046092087,3425.302602572609
158,338,171933.42213685042,414.6485525560778,3425.302602572609
89,264,63981.68018962845,252.94600251758962,3425.302602572609
114,214,27718.635639834683,166.4891457117691,3425.302602572609
180,259,68039.2214326992,260.84328903136304,3425.302602572609
24,51,12854.39699933652,113.3772331614091,3425.302602572609
1,162,68501.71723776334,261.7283271596014,3425.302602572609
218,318,9122.094396763909,95.50965603939692,3425.302602572609
168,7,4777.330832780421,69.11823806189233,3425.302602572609
118,13,4980.3308327804225,70.57145905237061,3425.302602572609
103,193,92540.13942576827,304.20410816714536,3423.127283871036
70,55,13090.871490315028,114.4153463933708,3423.127283871036
107,0,5906.744819350955,76.85534997221049,3423.127283871036
173,299,8725.889761283304,93.41247112288222,3423.127283871036
168,135,6723.944574188165,81.99966203703626,3423.127283871036
11,299,8630.817290317133,92.90219206411189,3423.127283871036
56,274,4756.853832253697,68.96994876215074,3423.127283871036
169,364,8449.653464509523,91.921996630347,3423.127283871036
74,258,6739.817290317129,82.09639023926161,3423.127283871036
132,207,4774.962845156444,69.10110596189068,3423.127283871036
92,24,3457.1449419323408,58.797490949294264,3423.127283871036
4,261,7054.780748380555,83.9927422363418,3423.127283871036
46,95,3033.7630903192326,55.079606846084445,3423.127283871036
145,180,1431.563335482026,37.8360058077227,3423.127283871036
123,7,25317.452857851007,159.11459033618195,3424.5036969064117
77,223,10445.70424748708,102.20422812920745,3424.5036969064117
169,389,10868.593340294734,104.25254596552898,3424.5036969064117
75,312,7001.704247487076,83.67618686034322,3424.5036969064117
39,181,19037.609045554756,137.97684242493287,3424.5036969064117
150,112,6202.711641299897,78.7572957972777,3424.5036969064117
9,329,8590.578552669087,92.68537399541034,3424.5036969064117
216,5,9713.282800156176,98.55598814966129,3424.5036969064117
36,333,2646.348426837119,51.442671264594324,3424.5036969064117
185,389,3650.2597010832374,60.41737913120063,3424.5036969064117
202,245,2053.3927897140597,45.31437729588767,3424.5036969064117
135,200,4785.207944393478,69.17519746551851,3424.5036969064117
195,222,2254.844729930707,47.485205379472745,3424.5036969064117
30,66,2306.348426837119,48.02445654910755,3424.5036969064117
16,132,1396.8964866204715,37.37507841624512,3424.5036969064117
230,382,3836.237519644767,61.93736771646634,3424.5036969064117
164,201,1769.3927897140597,42.06415088545185,3424.5036969064117
75,353,1226.4223649653536,35.02031360461173,3424.5036969064117
207,265,1371.4001835268832,37.03242070843983,3424.5036969064117
0,271,663.4593340294709,25.75770436256832,3424.5036969064117
226,236,1441.4001835268832,37.96577647733394,3424.5036969064117
